Thread ID: 2177716020
Total: 6.421089

 %self     total     self     wait    child    calls  name


Thread ID: 2172398400
Total: 6.139684

 %self     total     self     wait    child    calls  name


Thread ID: 2172310840
Total: 2.915911

 %self     total     self     wait    child    calls  name


Thread ID: 2172033640
Total: 2.713558

 %self     total     self     wait    child    calls  name


Thread ID: 2148303280
Total: 6.675153

 %self     total     self     wait    child    calls  name
  0.02      0.00     0.00     0.00     0.00      656  Hash#include?
  0.02      0.00     0.00     0.00     0.00      439  String#downcase
  0.02      0.01     0.00     0.00     0.01      214  Array#collect
  0.02      5.55     0.00     0.00     5.55       97  REXML::XPathParser#parse
  0.02      0.06     0.00     0.00     0.05       16  Net::HTTP#request(d1)
  0.02      0.00     0.00     0.00     0.00      460  Array#unshift
  0.02      0.00     0.00     0.00     0.00      483  Kernel#block_given?
  0.02      0.00     0.00     0.00     0.00       73  XmlSimple#empty
  0.02      0.01     0.00     0.00     0.01       64  Net::HTTPResponse#read_body
  0.02      0.00     0.00     0.00     0.00       25  IO#write
  0.02      0.00     0.00     0.00     0.00       18  REXML::Parsers::XPathParser#RelativeLocationPath(d1)
  0.02      6.68     0.00     0.00     6.67        1  ActiveSupport::Testing::Performance::Profiler#run
  0.02      0.00     0.00     0.00     0.00      133  String#sub
  0.02      0.01     0.00     0.00     0.01       59  REXML::Parsers::XPathParser#FunctionCall
  0.01      5.36     0.00     0.00     5.36       97  REXML::XPathParser#match
  0.01      0.01     0.00     0.00     0.00       26  REXML::Encoding#encoding=
  0.01      0.00     0.00     0.00     0.00       87  REXML::XPathParser#compare
  0.01      0.02     0.00     0.00     0.02       60  XmlSimple#get_attributes
  0.01      0.00     0.00     0.00     0.00      229  Array#join
  0.01      0.01     0.00     0.00     0.01       16  Net::HTTP#connect
  0.01      0.00     0.00     0.00     0.00      344  Hash#initialize_copy
  0.01      0.00     0.00     0.00     0.00       16  IO#close
  0.01      0.00     0.00     0.00     0.00       97  REXML::XPathParser#namespaces=
  0.01      0.00     0.00     0.00     0.00       23  Class#inherited
  0.01      0.00     0.00     0.00     0.00       40  XmlSimple#fold_arrays
  0.01      0.06     0.00     0.00     0.06      142  Kernel#send
  0.01      0.00     0.00     0.00     0.00       31  Solr::Field#initialize
  0.01      0.00     0.00     0.00     0.00       81  Net::HTTPHeader#[]
  0.01      0.00     0.00     0.00     0.00       58  REXML::Element#root(d8)
  0.01      0.00     0.00     0.00     0.00       97  REXML::XPathParser#variables=
  0.01      0.00     0.00     0.00     0.00       80  Net::HTTPHeader#capitalize
  0.01      0.00     0.00     0.00     0.00       49  <Class::Fedora::Repository>#instance
  0.01      4.42     0.00     0.00     4.42       10  Array#each_index(d1)
  0.01      3.72     0.00     0.00     3.72       90  REXML::XPathParser#d_o_s(d3)
  0.01      0.00     0.00     0.00     0.00      445  Module#==
  0.01      0.00     0.00     0.00     0.00      287  Module#===
  0.01      0.00     0.00     0.00     0.00      323  Hash#has_key?
  0.01      0.06     0.00     0.00     0.06       16  Net::HTTP#start
  0.01      3.55     0.00     0.00     3.55       90  REXML::XPathParser#d_o_s(d4)
  0.01      0.00     0.00     0.00     0.00       35  Fedora::BaseObject#initialize


Thread ID: 2172329920
Total: 6.110954

 %self     total     self     wait    child    calls  name


Thread ID: 2172356540
Total: 2.938884

 %self     total     self     wait    child    calls  name


Thread ID: 2172091000
Total: 2.750216

 %self     total     self     wait    child    calls  name


Thread ID: 2171995960
Total: 2.681558

 %self     total     self     wait    child    calls  name


Thread ID: 2177710400
Total: 6.418895

 %self     total     self     wait    child    calls  name


Thread ID: 2172363960
Total: 2.940823

 %self     total     self     wait    child    calls  name


Thread ID: 2171907180
Total: 2.644838

 %self     total     self     wait    child    calls  name


Thread ID: 2171422300
Total: 2.331149

 %self     total     self     wait    child    calls  name


Thread ID: 2171899420
Total: 2.643029

 %self     total     self     wait    child    calls  name


Thread ID: 2171852940
Total: 2.612200

 %self     total     self     wait    child    calls  name


Thread ID: 2176528540
Total: 6.384504

 %self     total     self     wait    child    calls  name


Thread ID: 2172334020
Total: 6.113181

 %self     total     self     wait    child    calls  name


Thread ID: 2171464360
Total: 2.358162

 %self     total     self     wait    child    calls  name


Thread ID: 2172401500
Total: 6.141825

 %self     total     self     wait    child    calls  name


Thread ID: 2171419200
Total: 2.329150

 %self     total     self     wait    child    calls  name


Thread ID: 2172134960
Total: 2.772251

 %self     total     self     wait    child    calls  name


Thread ID: 2172053560
Total: 2.723351

 %self     total     self     wait    child    calls  name


Thread ID: 2172117300
Total: 2.764186

 %self     total     self     wait    child    calls  name


Thread ID: 2171467420
Total: 2.360590

 %self     total     self     wait    child    calls  name


